[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13003 - Mill1
[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13006 - Mill2
[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13003 - W1
[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13003 - W1
[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13006 - NE13008
[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13006 - NE13008
[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13006 - W2
[2025-04-13 11:58:48] User -> Save Data | approve admin change yes ->admin@pds| NE13006 - W2
[2025-04-13 11:59:13] Admin User -> Save Data | implemeneted ->admin@pds| NE13006 - Mill2
[2025-04-13 11:59:20] Admin User -> Save Data | implemeneted ->admin@pds| NE13006 - NE13008
[2025-04-13 11:59:20] Admin User -> Save Data | implemeneted ->admin@pds| NE13006 - NE13008
[2025-04-13 11:59:20] Admin User -> Save Data | implemeneted ->admin@pds| NE13006 - W2
[2025-04-13 11:59:20] Admin User -> Save Data | implemeneted ->admin@pds| NE13006 - W2
[2025-04-13 12:00:02] {"id":"0WvNHAfzt1kdtY"}
[2025-04-13 12:00:02] User -> Cost for leg2 Reset ->admin@pds| Requested JSON -> {"id":"0WvNHAfzt1kdtY"} | 
[2025-04-13 12:00:05] User -> Cost for leg2 Added ->admin@pds| Requested JSON -> {"cost_0WvNHAfzt1kdtY":"12"} | 2025 | march
[2025-04-13 12:00:08] User -> Cost for leg1 Reset ->admin@pds| Requested JSON -> {"id":"8hLhGtJTDt7wxj"} | 
[2025-04-13 12:00:14] User -> Cost for leg1 Added ->admin@pds| Requested JSON -> {"cost_8hLhGtJTDt7wxj":"20"} | 2024 | oct
[2025-04-13 12:03:43] User -> District added ->admin@pds| Requested JSON ->
{"name":"Ankush"}
[2025-04-13 12:03:50] User -> District deleted -> admin@pds| Requested JSON
-> {"uid":"67fb5ac7e383d"} | Ankush
[2025-04-13 12:04:01] User -> Mill InActive -> admin@pds| Atta Store/Suru Valley RF Mill
[2025-04-13 12:04:05] User -> Mill Active -> admin@pds| Atta Store/Suru Valley RF Mill
[2025-04-13 12:04:55] User -> Mill added ->admin@pds| Requested JSON -> {"name":"Ankush","type":"dd","latitude":"25","longitude":"79","district":"Kargil","id":"admin@pds","demand":"200","demand_rice":"200"}
[2025-04-13 12:05:07] User -> Mill deleted -> admin@pds| Requested
JSON -> {"uid":"DCP_67fb5b0f756"} | Ankush
[2025-04-13 12:05:22] User -> Mill deleted -> admin@pds| Requested
JSON -> {"uid":"all"} | all
[2025-04-13 12:05:34] User -> Mill Added -> admin@pds| Atta Store/Suru Valley RF Mill
[2025-04-13 12:05:34] User -> Mill Added -> admin@pds| Kangrimill
[2025-04-13 12:05:34] User -> Mill Added -> admin@pds| Testing By
[2025-04-13 12:05:45] User -> Mill Edit -> admin@pds| Atta Store/Suru Valley RF Mill
[2025-04-13 12:05:45] User -> Mill Edit -> admin@pds| Kangrimill
[2025-04-13 12:05:45] User -> Mill Edit -> admin@pds| Testing By
[2025-04-13 12:05:52] User -> Mill Active -> admin@pds| Kargil
[2025-04-13 12:06:10] User -> Warehouse Active -> admin@pds| ABG
[2025-04-13 12:06:14] User -> Warehouse Active -> admin@pds| ABG
[2025-04-13 12:07:26] User -> Warehouse added ->admin@pds| Requested
JSON -> {"name":"ankush","type":"motorable","latitude":"30","storage":"70","district":"Kargil","id":"114","warehousetype":"swc","longitude":"70"}
[2025-04-13 12:07:35] User -> Warehouse Active -> admin@pds| Abgde
[2025-04-13 12:07:53] User -> Warehouse deleted -> admin@pds| Requested
JSON -> {"uid":"WH_67cf2235e62f"} | Arjun Upadhyay
[2025-04-13 12:08:08] User -> Warehouse deleted -> admin@pds| Requested
JSON -> {"uid":"WH_67fb5ba6d5d6"} | Ankush
[2025-04-13 12:08:14] User -> Warehouse deleted -> admin@pds| Requested
JSON -> {"uid":"all"} | all
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| Rice_HO_Khumbathang
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| ABG
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| Abgde
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| ABG
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| G_Rice_A/B
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| ABG
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| ABG
[2025-04-13 12:08:28] User -> Warehouse Added -> admin@pds| Arjun Upadhyay
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| Rice_HO_Khumbathang
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| ABG
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| Abgde
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| ABG
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| G_Rice_A/B
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| ABG
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| ABG
[2025-04-13 12:08:43] User -> Warehouse Edit -> admin@pds| Arjun Upadhyay
[2025-04-13 12:08:50] User -> Warehouse Active -> admin@pds| Kargil
[2025-04-13 12:10:28] User -> FPS added ->admin@pds| Requested JSON -> {"name":"Ankush","type":"Model FPS","latitude":"28","longitude":"79","district":"Kargil","id":"admin@pds","demand":"200","demand_rice":"200","demand_frice":"200"}
[2025-04-13 12:10:52] User -> FPS InActive -> admin@pds| Ankush
[2025-04-13 12:11:02] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"FPS_67fb5c5cebe"} | Ankush
[2025-04-13 12:11:31] User -> FPS added ->admin@pds| Requested JSON -> {"name":"Ak","type":"Model FPS","latitude":"10","longitude":"10","district":"Kargil","id":"10","demand":"10","demand_rice":"10","demand_frice":"10"}
[2025-04-13 12:13:15] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| Abgh
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| Abgh
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| Abgh
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| Abgh
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
[2025-04-13 12:13:27] User -> FPS Added -> admin@pds| ABGH
