[2025-09-23 16:19:20] User -> Mill deleted -> admin@pds| Requested
JSON -> {"uid":"all"} | all
[2025-09-23 16:19:53] User -> Mill Added -> admin@pds| Kangrimill
[2025-09-23 16:19:53] User -> Mill Added -> admin@pds| Atta Storesuru Valley Rf Mill
[2025-09-23 16:19:53] User -> Mill Added -> admin@pds| Abcdeiiiii
[2025-09-23 16:27:12] User -> Mill Edit -> admin@pds| Kangrimill
[2025-09-23 16:27:12] User -> Mill Edit -> admin@pds| Atta Storesuru Valley Rf Mill
[2025-09-23 16:27:12] User -> Mill Edit -> admin@pds| Abcdeiiiii
[2025-09-23 16:27:34] User -> Mill Edit -> admin@pds| Kangrimill
[2025-09-23 16:27:34] User -> Mill Edit -> admin@pds| Atta Storesuru Valley Rf Mill
[2025-09-23 16:27:34] User -> Mill Edit -> admin@pds| Abcdeiiiii
[2025-09-23 16:40:17] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
[2025-09-23 16:40:34] User -> FPS Added -> admin@pds| ABGH
